Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Ljubljana,Slovenia","01/01/2019",-3.1,6.6,0.8,-2.7,78.55,,7.5,18.7,179.61,2.2,0.0,0.0,0.0,19.7,19.1,1021.3,"weather_type_0, Sky Unchanged",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana,Slovenia","01/02/2019",-1.3,7.5,2.5,-11.4,35.67,,28.3,57.6,211.38,-4.1,0.0,0.0,0.0,23.0,12.8,1023.5,"weather_type_0, Snow Showers, Precipitation In Vicinity",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana,Slovenia","01/03/2019",-3.8,4.0,0.2,-10.3,50.21,,19.7,39.6,221.21,-5.1,0.0,0.0,0.0,33.0,30.4,1028.7,"weather_type_0",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/04/2019",-2.7,2.6,-0.9,-8.8,56.09,,7.2,13.3,121.29,-2.9,0.0,0.0,0.0,25.8,57.3,1027.0,"weather_type_0, Precipitation In Vicinity, Sky Coverage Increasing",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/05/2019",-3.7,2.6,-1.0,-6.7,66.09,,6.1,18.0,163.91,-2.2,0.0,0.0,0.0,21.9,37.6,1019.5,"weather_type_0, Sky Coverage Decreasing, Sky Coverage Increasing",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/06/2019",-2.2,6.1,0.5,-3.4,75.96,,10.8,26.6,154.91,-3.3,0.0,0.0,0.0,23.8,41.5,1026.0,"weather_type_0, Light Snow, Sky Unchanged, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/07/2019",-3.8,0.9,-1.3,-4.0,82.09,,8.2,13.0,89.32,-4.3,0.0,0.0,0.0,11.4,53.4,1026.3,"weather_type_0, Mist, Sky Coverage Decreasing, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/08/2019",-3.4,1.0,-1.2,-2.5,90.63,,7.2,14.4,154.68,-5.3,0.2,4.17,0.0,3.0,39.6,1010.6,"weather_type_0, Ice, Light Snow, Mist, Light Drizzle, Fog, Light Freezing Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/09/2019",-3.5,1.3,-1.3,-2.7,90.19,,7.2,15.8,173.87,-2.4,0.0,0.0,0.0,4.3,39.5,1008.9,"weather_type_0, Mist, Fog",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/10/2019",-5.0,3.6,0.4,-3.7,74.5,,10.4,18.7,123.64,-2.0,0.0,0.0,0.0,18.7,51.2,1017.9,"weather_type_0, Mist, Sky Coverage Increasing, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/11/2019",-3.4,2.9,-1.3,-7.4,64.08,,7.2,13.7,171.9,-5.6,0.0,0.0,0.0,28.1,24.8,1021.2,"weather_type_0, Sky Coverage Increasing, Sky Unchanged",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana,Slovenia","01/12/2019",-2.9,2.4,-0.5,-5.4,70.0,,5.0,12.2,160.04,-2.9,0.0,0.0,0.0,21.8,39.3,1015.5,"weather_type_0, Sky Coverage Increasing, Sky Unchanged",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/13/2019",1.6,7.1,4.8,-1.0,66.72,,15.7,34.6,210.42,-0.4,0.1,4.17,0.0,18.5,31.9,1003.3,"weather_type_0, Snow And Rain Showers, Sky Coverage Decreasing, Sky Unchanged",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/14/2019",-2.1,12.1,4.8,-5.7,48.68,,32.3,61.2,224.88,-5.1,0.0,0.0,0.0,29.1,26.3,1010.7,"weather_type_0, Precipitation In Vicinity, Sky Unchanged",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/15/2019",-0.1,9.0,3.7,-7.1,47.38,,20.5,36.0,208.0,-3.2,0.0,0.0,0.0,32.2,28.8,1018.8,"weather_type_0, Sky Coverage Increasing",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/16/2019",4.1,9.0,7.8,0.6,61.18,,17.8,37.4,264.71,3.1,0.0,0.0,0.0,21.7,51.0,1015.9,"weather_type_0, Rain, Light Rain, Sky Coverage Increasing",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/17/2019",0.5,8.4,5.4,3.7,89.29,,12.2,25.6,204.61,-1.4,25.63,8.33,0.0,7.0,52.8,1011.9,"weather_type_0, Drizzle, Heavy Snow, Rain, Light Drizzle/Rain, Heavy Rain And Snow, Heavy Rain, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/18/2019",-0.5,2.0,0.7,-1.2,87.24,,8.7,24.8,83.61,-2.4,19.03,4.17,0.0,11.4,60.7,1020.6,"weather_type_0, Drizzle, Light Snow, Light Drizzle, Light Rain, Sky Coverage Decreasing, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/19/2019",-2.6,1.0,-0.3,-3.7,78.18,,7.2,15.1,138.33,-1.6,0.0,0.0,0.0,13.1,59.1,1018.1,"weather_type_0, Mist",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/20/2019",-1.3,2.8,0.1,-3.6,76.6,,7.2,14.4,69.17,-3.0,0.0,0.0,0.0,11.4,40.1,1019.6,"weather_type_0",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/21/2019",-7.0,0.9,-1.1,-4.4,78.67,,10.7,18.0,135.22,-2.6,0.1,4.17,0.0,8.8,49.4,1018.9,"weather_type_0, Light Snow, Mist, Light Rain And Snow, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/22/2019",-5.2,0.9,-1.4,-5.2,76.31,,13.7,26.3,75.22,-6.1,0.45,4.17,0.0,7.0,48.3,1006.4,"weather_type_0, Light Snow, Mist, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/23/2019",-2.5,-0.6,-2.1,-4.7,82.11,,13.0,10.8,142.63,-7.0,0.81,8.33,0.0,4.8,52.5,1002.3,"weather_type_0, Ice, Light Snow, Mist, Fog, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/24/2019",-3.8,0.4,-1.0,-4.6,76.52,,7.3,17.3,112.29,-5.7,0.0,0.0,0.0,7.9,43.9,1008.1,"weather_type_0, Mist",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
